item,label,subject,matched_term
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200171392A-1,"allegoria della Giustizia (peduccio - figurato, serie) di Vanni Pietro (ultimo quarto sec. XIX)",allegoria della Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200184071-6,Giustizia (scultura) by Maderno Stefano (sec. XVII),Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500187786,"Allegorie Piloni, Giustizia (scultura) by Brustolon Andrea (sec. XVIII)",Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200066963A-1,allegoria della Giustizia (dipinto) by Calcagnadoro Antonino (sec. XX),allegoria della Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200096292,"allegoria della Giustizia (dipinto, complesso decorativo) - ambito romano (secc. XVI/ XVII)",allegoria della Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100246447A-26,"allegoria della Giustizia (dipinto, elemento d'insieme) by Lazzarini Placido, Paolucci Carlo (sec. XVIII)",allegoria della Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100209652,"La giustizia, allegoria della Giustizia (stampa) di Raimondi Marcantonio (prima metà sec. XVI)",allegoria della Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1300061411,Giustizia (scultura) - ambito Italia centrale (sec. XVIII),Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500066768-0,allegoria della Giustizia (dipinto) di De Matteis Paolo (sec. XVII),allegoria della Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300097947-6,"Giustizia (dipinto, elemento d'insieme) - ambito lombardo (fine sec. XIX)",Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500315909,"allegoria della Giustizia (stampa) di Dorigny Michel, Vouet Simon (sec. XVII)",allegoria della Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500448678A,"allegoria della Giustizia, della Pace e della Clemenza (medaglia, opera isolata) - bottega romana (sec. XIX)","allegoria della Giustizia, della Pace e della Clemenza",['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281607-6,allegoria della Giustizia (dipinto) by Sabatini Lorenzo detto Lorenzino da Bologna (sec. XVI),allegoria della Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281434-28,"Giustizia (formella) by Andrea Pisano, Piero di Donato, Piero di Jacopo, Dini Lippo (sec. XIV)",Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100033373-4,"Giustizia (decorazione pittorica, elemento d'insieme) - ambito vercellese (prima metà sec. XVI)",Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281077-15,Giustizia (dipinto) by Gaddi Taddeo (secondo quarto sec. XIV),Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200216965,Giustizia (statua) - ambito laziale (secc. XVII/ XVIII),Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900281061-10,Giustizia (statuetta) by Benedetto da Maiano (sec. XV),Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500059753,allegoria della Giustizia (dipinto) by Carriera Rosalba (maniera) (fine/inizio secc. XVIII/ XIX),allegoria della Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0700093629,"Prudenza/ Giustizia (dipinto, opera isolata) by Gandolfi Francesco (sec. XIX)",Prudenza/ Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200167226,Giustizia (statua) di Pettrich Friedrich August Ferdinand (sec. XIX),Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900745523,allegoria della Giustizia e della Carità (dipinto murale) di Martinelli Giovanni (sec. XVII),allegoria della Giustizia e della Carità,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800075419,Stemma cardinalizio con due topi tra Forza e Giustizia (stampa) by Lodi Giacomo (attribuito) (sec. XVII),Stemma cardinalizio con due topi tra Forza e Giustizia,['Giustizia']
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900191268-9,allegoria della Giustizia (dipinto) di Barbatelli Bernardino detto Poccetti (attribuito) (sec. XVII),allegoria della Giustizia,['Giustizia']
