qid,P31,P21,P2925,P22,P25,P460,P1889,P4185,P157,P1074
Q391379,Q3027575,Q6581097,Q203923,,Q106515828,,,,,
Q163920,Q22989102,Q6581097,Q7242,Q878246,Q771366,,,,Q58697,
Q35500,Q22989102,Q6581072,Q316,Q34201,Q199923,Q47652,Q9141765,,,
Q4439972,Q22989102,Q6581072,,Q34201,Q548099,,,,,
Q911084,Q3027575,Q6581097,Q941745,Q161419,Q184216,,,,,
Q107785,Q182406,Q6581072,,Q161419,Q184216,,Q108904,,,
Q3575327,Q22989102,Q6581097,,,,,,,,
Q180222,Q22989102,Q6581072,Q165,Q161419,Q184216,Q2987780,Q186663,,,
Q572133,Q22989102,Q6581097,Q316,Q40901,Q35500,,,,,
Q37340,Q22989102,Q6581097,,Q34201,Q103107,Q900649,,,,
Q40901,Q22989102,Q6581097,Q198,Q34201,Q38012,Q112,Q642910,,,
Q978079,Q22988604,Q6581072,Q784068,Q40901,Q35500,Q746321,Q26913032,,,
Q787492,Q146083,Q6581097,,,,Q84122,Q5264,,,
Q39503,Q113103481,Q6581072,,Q34201,Q103107,Q132543,Q159168,,,
Q83223,Q22989102,Q6581097,,Q37340,Q725286,Q3920788,,,,
Q742680,Q205985,Q6581072,,Q34201,Q159168,Q465875,Q18642285,,,
Q37122,Q205985,Q6581072,Q799,Q34201,Q190565,Q126916,Q4813062,Q173603,,
Q130818,Q45713,Q6581097,,Q179543,Q605744,,Q757089,,,
Q753294,Q22989102,Q6581072,,Q34201,Q131203,,,,,
Q109220,Q476682,Q6581097,,Q250588,Q178417,Q2859290,Q1016296,,,
Q48961,Q182406,Q6581072,,Q130818,Q184216,,Q203673,,,
Q203673,Q3346693,Q6581072,,Q501667,,,Q48961,,,
Q58371024,Q22989102,Q6581072,,,,,,Q327954,,
Q192082,Q3059255,Q6581072,,Q41127,Q93172,,,,,
Q6612,Q22989102,Q6581097,,Q131122,Q131203,,Q1067918,,,
Q131090,Q878099,Q6581097,,Q272918,Q332246,,Q33060039,,,
Q188236,Q22989102,Q6581072,Q7860,,,Q108419,Q648255,Q140,,
Q187602,Q22989102,Q6581072,,Q241971,Q1333108,,Q28771850,,,
Q21051010,Q182406,Q6581072,,Q161419,Q184216,Q866674,,,,
Q829669,Q22989102,Q6581072,,Q34201,Q131203,,,,,
Q194015,Q182037,Q6581072,,Q1364612,Q93172,,Q11692901,,,
Q12750699,Q242663,Q6581072,,,,,Q741627,,,
Q40730,Q22989102,Q6581072,Q36133,Q44204,Q108419,Q32102,Q513715,,,
Q199923,Q45713,Q6581072,,Q161419,Q184216,,,,,
Q41680,Q13405593,Q6581097,Q282,Q34201,Q776139,Q645312,Q10755817,Q10978,,
Q726279,Q182406,Q6581072,,Q161419,Q184216,,Q670634,,,
Q910403,Q22988604,Q6581072,,Q3040215,,Q29788463,,,,
Q131125,Q205985,Q6581072,,Q34201,Q38012,Q1367680,,,,
Q131575,Q205985,Q6581072,Q1058800,Q660924,Q18642285,Q39503,Q99600343,,,
Q207368,Q242663,Q6581072,Q182767,,,,,,,
Q44384,Q22989102,Q6581097,Q8072,Q34201,Q38012,Q4640,,,,
Q1249106,Q191192,Q6581097,,Q79999,Q93172,,Q957340,,Q37340,
Q5820239,Q182037,Q6581072,,,,,,,,
Q321298,Q3346693,Q6581072,,Q622781,Q1237258,,,,,
Q638578,Q3059255,Q6581072,,Q143880,Q624551,,Q60409839,,,
Q845112,Q191192,Q6581097,,Q79999,Q93172,,Q15138962,,Q37122,
Q172549,Q22989102,Q6581097,,Q41127,Q1627764,Q4532166,Q252967,,,
Q41054,Q45713,Q6581097,,Q179543,Q159168,,Q227368,,,
Q38012,Q22989102,Q6581072,Q8445,Q44204,Q108419,Q125046,Q242337,,,
Q122248,Q23015925,Q6581097,,Q34201,Q190543,Q240679,Q106803123,,,
Q1135146,Q24336031,Q6581097,,Q161419,Q184216,,,,,
Q204146,Q22989102,Q16674976,,Q41484,Q35500,,,,,
Q41484,Q113103481,Q6581097,Q3562775,Q34201,Q205233,Q1150,Q223919,Q238577,,
Q121973,Q878099,Q6581097,,Q966521,Q3899052,Q5011,Q602799,,,
Q689422,Q22989102,Q6581072,,Q34201,Q548099,,Q60957766,,,
Q208588,Q202474,Q6581072,,,,,,,,
Q548099,Q182406,Q6581072,,Q161419,Q184216,Q60848089,,,,
Q1120723,Q22989102,Q6581072,,,,,Q32752090,,,
Q183281,Q45713,Q6581072,,Q79999,Q93172,,Q4848733,,,
Q3382132,Q16685255,,,,,Q900649,,,,
Q398524,Q182406,Q6581072,,Q161419,Q184216,,Q1177333,,,
Q649624,Q22988604,Q6581097,,Q735623,Q785598,,,,,
Q1775444,Q207174,Q6581097,,Q3010239,Q178417,Q2642147,,,,
Q385397,Q3059255,Q6581097,,Q3545323,Q1372117,,Q1364945,,,
Q134270,Q22989102,Q6581097,Q525,Q179209,Q184232,Q1199937,Q226660,,,
Q189347,Q22989102,Q6581097,Q35831,Q131122,Q131203,Q21030618,,,,Q35831
Q202257,Q22989102,Q6581072,Q12147,Q83223,Q2089459,Q104845868,,,,
Q506770,Q22989102,Q6581097,Q8445,Q41680,Q35500,Q63532530,Q3031019,,,
Q179014,Q3346693,Q6581072,,Q735623,,,Q103375,,,
Q2171892,Q182406,Q6581072,,Q161419,Q184216,,,,,
Q184570,Q22989102,Q6581072,,Q326767,Q1438693,,Q1471499,,,Q1052
Q898947,Q22989102,Q6581072,,Q34201,Q131203,,,,,
Q190565,Q182406,Q6581072,Q799,Q161419,Q184216,,,,,
Q102884,Q45713,Q6581072,Q492,Q79999,Q93172,,,,,
Q194012,Q22989102,Q6581097,Q36348,Q189347,Q4439972,,Q174353,,,
Q624551,Q3346693,Q6581072,,Q161419,,Q3874213,Q10476719,,,
Q185747,Q182406,Q6581072,Q186361,Q131122,Q131203,Q742680,Q18338203,,,
Q189527,Q3059255,Q6581097,,Q190563,Q93172,Q1398720,,,,
Q165023,Q205985,Q6581072,Q50000,Q457294,Q542758,Q308902,Q218202,,,
Q685243,Q3027575,Q6581097,Q3392,Q161419,Q184216,,,,,
Q131203,Q878099,Q6581072,Q575,Q131090,Q4286521,Q1651665,Q344536,,,
Q161419,Q45713,Q6581097,Q107549003,Q79999,Q93172,,,,,
Q201261,Q22989102,Q6581097,,Q1817912,,,Q312422,,,
Q1129489,Q3059255,Q6581072,,Q301219,Q2108224,,,,,
Q3357697,Q191192,Q6581097,,Q79999,Q93172,,,,,
Q3361501,Q22989102,Q6581072,,,,Q37122,,Q829650,,
Q132582,Q22989102,Q6581097,,Q41484,Q29788463,Q3089703,Q107190,,,
Q1364612,Q3027575,Q6581097,Q376328,Q161419,Q184216,,,,,
Q17996472,Q3346693,Q6581072,,Q38016062,,,,,,
Q45967,Q22989102,Q6581072,,Q34201,Q40730,Q14515330,,,,
Q130832,Q23015925,Q6581097,,Q34201,Q190582,Q3476559,Q6502471,,,
Q41127,Q1916821,Q6581097,Q165,Q44204,Q108419,Q3954,Q227431,Q20644862,,
Q83160,Q45713,Q6581097,,Q179543,Q159168,,Q2112787,,,
Q843382,Q22989102,Q6581072,,,,,,,,
Q108419,Q45713,Q6581072,,Q79999,Q93172,Q188236,Q20000206,,,
Q1061782,Q22988604,Q6581097,,Q3625559,Q103975,,,,Q208256,
Q193115,Q3059255,Q43445,,Q200382,Q12725881,,Q255329,,,
Q131585,Q22989102,Q6581072,Q405,Q179209,Q184232,Q1235172,Q671979,,,
Q214554,Q146083,Q6581097,,,,,,,,
Q846129,Q619300,Q6581072,,Q3825406,,,Q10902606,,,
Q1241338,Q3346693,Q6581072,,Q189527,Q726279,,,,,
Q3822612,Q878099,Q6581072,,,,,,,,
Q180237,Q191192,Q6581097,,Q101322,Q93172,Q190511,Q1784578,,,
Q10696861,Q3346693,Q6581072,,Q12760031,,,,,,
Q18415479,Q45713,Q6581097,,,,,,,,
Q148030,Q3059255,Q6581097,,Q41127,Q2987780,,,,,
Q79999,Q878099,Q6581097,Q527,Q131090,Q192107,Q3360794,,,,
Q483760,Q1406161,,,,,Q19760026,Q4750780,,,
Q59697,Q22989102,Q6581097,,Q643504,Q178417,Q4110210,,,,
Q467515,Q476682,Q6581097,,Q250588,Q178417,,Q8068495,,,
Q34201,Q842697,Q6581097,Q33741,Q44204,Q108419,Q4649,Q354151,Q2794866,,
Q336003,Q11688446,Q6581072,Q336019,,,,,,,
Q381061,Q11688446,Q6581072,,,,,,Q1370617,,
Q581656,Q11688446,Q6581072,,,,Q3314298,,,,
Q178831,Q11688446,Q6581072,Q11326182,Q179209,Q184232,Q178417,Q1066178,,,
Q645312,Q11688446,Q6581097,Q213376,Q4649,Q776139,Q41680,Q683204,,,
Q207234,Q11688446,Q6581072,,Q4649,Q125046,Q747657,,,,
Q32102,Q11688446,Q6581072,Q11451,Q134388,Q108419,Q40730,Q1055257,,,
Q746321,Q11688446,Q6581072,Q16513416,,,Q978079,,Q1109404,,
Q5011,Q11688446,Q6581097,,Q1150,Q47652,Q121973,Q439540,,,
Q132543,Q11688446,Q6581072,,Q4649,Q12958119,Q39503,,,,
Q582268,Q13002315,Q6581072,,,,,Q164297,,,
Q240679,Q11688446,Q6581097,,Q4649,Q190543,Q122248,Q4748709,,,
Q3920788,Q11688446,Q6581097,,,,Q83223,,,,
Q2527609,Q11688446,Q6581072,Q38933,,,,Q33533292,,,
Q209644,Q11688446,Q6581072,,,,Q1075258,,,,
Q4654,Q11688446,Q6581072,,,,Q213440,Q219201,,,
Q4649,Q11688446,Q6581097,,Q134388,Q859392,Q34201,Q16280772,Q2794866,,
