qid,P31,P21,P2925,P460,P1889
Q391379,Q3027575,Q6581097,Q203923,,
Q163920,Q22989102,Q6581097,Q7242,,
Q35500,Q22989102,Q6581072,Q316,Q47652,Q9141765
Q4439972,Q22989102,Q6581072,,,
Q911084,Q3027575,Q6581097,Q941745,,
Q107785,Q182406,Q6581072,,,Q108904
Q3575327,Q22989102,Q6581097,,,
Q180222,Q22989102,Q6581072,Q165,Q2987780,Q186663
Q572133,Q22989102,Q6581097,Q316,,
Q37340,Q22989102,Q6581097,,Q900649,
Q40901,Q22989102,Q6581097,Q198,Q112,Q642910
Q978079,Q22988604,Q6581072,Q784068,Q746321,Q26913032
Q787492,Q22989102,Q6581097,,Q84122,Q5264
Q39503,Q22989102,Q6581072,,Q132543,Q159168
Q83223,Q22989102,Q6581097,,Q3920788,
Q742680,Q22989102,Q6581072,,Q465875,Q18642285
Q37122,Q22989102,Q6581072,Q799,Q126916,Q4813062
Q130818,Q45713,Q6581097,,,Q757089
Q753294,Q22989102,Q6581072,,,
Q109220,Q476682,Q6581097,,Q2859290,Q1016296
Q48961,Q182406,Q6581072,,,Q203673
Q203673,Q3346693,Q6581072,,,Q48961
Q58371024,Q22989102,Q6581072,,,
Q192082,Q3059255,Q6581072,,,
Q6612,Q22989102,Q6581097,,,Q1067918
Q131090,Q878099,Q6581097,,,Q33060039
Q188236,Q22989102,Q6581072,Q7860,Q108419,Q648255
Q187602,Q22989102,Q6581072,,,Q28771850
Q21051010,Q182406,Q6581072,,Q866674,
Q829669,Q22989102,Q6581072,,,
Q194015,Q182037,Q6581072,,,Q11692901
Q12750699,Q242663,Q6581072,,,Q741627
Q40730,Q22989102,Q6581072,Q36133,Q32102,Q513715
Q199923,Q45713,Q6581072,,,
Q41680,Q13405593,Q6581097,Q282,Q645312,Q10755817
Q726279,Q182406,Q6581072,,,Q670634
Q910403,Q22988604,Q6581072,,Q29788463,
Q131125,Q22989102,Q6581072,,Q1367680,
Q131575,Q22989102,Q6581072,Q1058800,Q39503,Q99600343
Q207368,Q242663,Q6581072,Q182767,,
Q44384,Q22989102,Q6581097,Q8072,Q4640,
Q1249106,Q191192,Q6581097,,,Q957340
Q5820239,Q182037,Q6581072,,,
Q321298,Q3346693,Q6581072,,,
Q638578,Q3059255,Q6581072,,,Q60409839
Q845112,Q191192,Q6581097,,,Q15138962
Q172549,Q22989102,Q6581097,,Q4532166,Q252967
Q41054,Q45713,Q6581097,,,Q227368
Q38012,Q22989102,Q6581072,Q8445,Q125046,Q242337
Q122248,Q23015925,Q6581097,,Q240679,Q106803123
Q1135146,Q24336031,Q6581097,,,
Q204146,Q22989102,Q16674976,,,
Q41484,Q113103481,Q6581097,Q3562775,Q1150,Q223919
Q121973,Q22989102,Q6581097,,Q5011,Q602799
Q689422,Q22989102,Q6581072,,,Q60957766
Q208588,Q202474,Q6581072,,,
Q548099,Q182406,Q6581072,,Q60848089,
Q1120723,Q22989102,Q6581072,,,Q32752090
Q183281,Q45713,Q6581072,,,Q4848733
Q3382132,Q22989102,,,Q900649,
Q398524,Q182406,Q6581072,,,Q1177333
Q649624,Q22988604,Q6581097,,,
Q1775444,Q22989102,Q6581097,,Q2642147,
Q385397,Q3059255,Q6581097,,,Q1364945
Q134270,Q22989102,Q6581097,Q525,Q1199937,Q226660
Q189347,Q22989102,Q6581097,Q35831,Q21030618,
Q202257,Q22989102,Q6581072,Q12147,Q104845868,
Q506770,Q22989102,Q6581097,Q8445,Q63532530,Q3031019
Q179014,Q3346693,Q6581072,,,Q103375
Q2171892,Q182406,Q6581072,,,
Q184570,Q22989102,Q6581072,,,Q1471499
Q898947,Q22989102,Q6581072,,,
Q190565,Q182406,Q6581072,Q799,,
Q102884,Q45713,Q6581072,Q492,,
Q194012,Q22989102,Q6581097,Q36348,,Q174353
Q624551,Q3346693,Q6581072,,Q3874213,Q10476719
Q185747,Q22989102,Q6581072,Q186361,Q742680,Q18338203
Q189527,Q3059255,Q6581097,,Q1398720,
Q165023,Q22989102,Q6581072,Q50000,Q308902,Q218202
Q685243,Q22988604,Q6581097,Q3392,,
Q131203,Q878099,Q6581072,Q575,Q1651665,Q344536
Q161419,Q45713,Q6581097,Q107549003,,
Q201261,Q22989102,Q6581097,,,Q312422
Q1129489,Q22988604,Q6581072,,,
Q3357697,Q191192,Q6581097,,,
Q3361501,Q22989102,Q6581072,,Q37122,
Q132582,Q22989102,Q6581097,,Q3089703,Q107190
Q1364612,Q3027575,Q6581097,Q376328,,
Q17996472,Q3346693,Q6581072,,,
Q45967,Q22989102,Q6581072,,Q14515330,
Q130832,Q23015925,Q6581097,,Q3476559,Q6502471
Q41127,Q22989102,Q6581097,Q165,Q3954,Q227431
Q83160,Q45713,Q6581097,,,Q2112787
Q843382,Q22989102,Q6581072,,,
Q108419,Q45713,Q6581072,,Q188236,Q20000206
Q1061782,Q22988604,Q6581097,,,
Q193115,Q3059255,Q43445,,,Q255329
Q131585,Q22989102,Q6581072,Q405,Q1235172,Q671979
Q214554,Q22989102,Q6581097,,,
Q846129,Q619300,Q6581072,,,Q10902606
Q1241338,Q3346693,Q6581072,,,
Q3822612,Q878099,Q6581072,,,
Q180237,Q191192,Q6581097,,Q190511,Q1784578
Q10696861,Q3346693,Q6581072,,,
Q18415479,Q45713,Q6581097,,,
Q148030,Q3059255,Q6581097,,,
Q79999,Q878099,Q6581097,Q527,Q3360794,
Q483760,Q22989102,,,Q19760026,Q4750780
Q59697,Q22989102,Q6581097,,Q4110210,
Q467515,Q476682,Q6581097,,,Q8068495
Q34201,Q22989102,Q6581097,Q33741,Q4649,Q354151
Q336003,Q11688446,Q6581072,Q336019,,
Q381061,Q11688446,Q6581072,,,
Q581656,Q11688446,Q6581072,,Q3314298,
Q178831,Q11688446,Q6581072,Q11326182,Q178417,Q1066178
Q645312,Q11688446,Q6581097,Q213376,Q41680,Q683204
Q207234,Q11688446,Q6581072,,Q747657,
Q32102,Q11688446,Q6581072,Q11451,Q40730,Q1055257
Q746321,Q11688446,Q6581072,Q16513416,Q978079,
Q5011,Q11688446,Q6581097,,Q121973,Q439540
Q132543,Q11688446,Q6581072,,Q39503,
Q582268,Q11688446,Q6581072,,,Q164297
Q240679,Q11688446,Q6581097,,Q122248,Q4748709
Q3920788,Q11688446,Q6581097,,Q83223,
Q2527609,Q11688446,Q6581072,Q38933,,Q33533292
Q209644,Q11688446,Q6581072,,Q1075258,
Q4654,Q11688446,Q6581072,,Q213440,Q219201
Q4649,Q11688446,Q6581097,,Q34201,Q16280772
Q125046,Q11688446,Q6581072,Q8445,Q38012,
Q1102307,Q11688446,Q6581072,Q5167661,Q159168,Q75133781
Q1367680,Q11688446,Q6581072,,Q131125,Q1422
Q112,Q11688446,Q6581097,Q198,Q40901,Q426315
Q1479084,Q11688446,Q6581072,,Q178831,
Q1150,Q11688446,Q6581097,Q2727213,Q41484,Q11777485
Q126916,Q11688446,Q6581072,Q1294787,Q37122,
Q3954,Q11688446,Q6581097,,Q41127,Q1261928
Q859392,Q11688446,Q6581072,Q2488752,Q108419,Q221197
Q152262,Q11688446,Q6581097,,Q41410,Q2099776
Q171239,Q38618822,Q6581072,,,
Q14515330,Q11688446,Q6581072,,Q45967,Q33056084
Q953033,Q11688446,Q6581072,Q18287233,,
Q1753275,Q11688446,Q6581097,,Q5283763,
Q134388,Q11688446,Q6581097,,Q272918,Q3950829
Q2062262,Q273320,Q6581072,,,
Q548445,Q11688446,Q6581097,,,Q187489
Q580723,Q11688446,Q6581097,,,
Q47652,Q11688446,Q6581072,Q316,Q35500,
Q3545810,Q11688446,Q6581072,,Q1317994,Q12644570
Q374311,Q11688446,Q6581097,,,
Q178710,Q11688446,Q6581072,Q182995,Q41419,Q3030
Q308902,Q11688446,Q6581072,Q50000,Q165023,Q537094
Q4640,Q11688446,Q6581097,,Q44384,Q1088708
Q555521,Q22988604,Q6581097,,,Q123314
Q41746,Q22988604,Q6581097,,Q114839495,Q229835
Q419156,Q22988604,Q6581097,Q1382342,,
Q128176,Q22988604,Q6581097,,,Q231724
Q584492,Q22988604,Q6581072,,,Q243653
Q172725,Q22988604,Q6581097,,,Q242319
Q320449,Q22988604,Q6581072,,,
Q912904,Q22988604,Q6581072,,,Q12784350
Q1643451,Q22988604,Q6581072,,,
Q482096,Q22988604,Q6581072,,,
Q3614346,Q22988604,Q6581097,,,
Q474474,Q163709,Q6581097,,,
Q488558,Q22988604,Q6581097,,,
Q488621,Q22988604,Q6581072,,,
Q211953,Q22988604,Q6581097,,,
Q19376,Q22988604,Q6581072,,,
Q161582,Q22988604,Q6581072,,,Q102897
Q242835,Q22988604,Q6581097,,,
Q131351,Q22988604,Q6581072,,,Q20978302
