source,relation,target,target_label
Q391379,child,Q179844,Parthenope
Q391379,spouse,Q103992,Melpomene
Q391379,spouse,Q104042,Terpsichore
Q391379,spouse,Q103975,Calliope
Q391379,unmarried partner,Q103975,Calliope
Q163920,mother,Q771366,Myrrha
Q163920,sibling,Q771366,Myrrha
Q163920,unmarried partner,Q35500,Aphrodite
Q163920,unmarried partner,Q45967,Persephone
Q35500,father,Q34201,Zeus
Q35500,father,Q79999,Uranus
Q35500,mother,Q199923,Dione
Q35500,child,Q572133,Anteros
Q35500,child,Q121973,Eros
Q35500,child,Q978079,Harmonia
Q35500,child,Q204146,Hermaphroditus
Q35500,child,Q506770,Hymen
Q35500,child,Q206878,Priapus
Q35500,child,Q82732,Aeneas
Q35500,child,Q184353,Charites
Q35500,spouse,Q44384,Hephaestus
Q35500,unmarried partner,Q211953,Anchises
Q35500,unmarried partner,Q203480,Phaethon
Q35500,unmarried partner,Q163920,Adonis
Q35500,unmarried partner,Q40901,Ares
Q35500,unmarried partner,Q41484,Hermes
Q35500,unmarried partner,Q41680,Dionysus
Q35500,unmarried partner,Q41127,Poseidon
Q35500,unmarried partner,Q34201,Zeus
Q4439972,father,Q34201,Zeus
Q4439972,mother,Q548099,Eurynome
Q4439972,child,Q194012,Morpheus
Q4439972,sibling,Q689422,Euphrosyne
Q4439972,spouse,Q44384,Hephaestus
Q911084,father,Q161419,Oceanus
Q107785,father,Q161419,Oceanus
Q107785,father,Q134270,Helios
Q107785,unmarried partner,Q161419,Oceanus
Q180222,father,Q161419,Oceanus
Q180222,father,Q189527,Nereus
Q180222,mother,Q726279,Doris
Q180222,child,Q148030,Triton
Q180222,spouse,Q41127,Poseidon
Q180222,spouse,Q3954,Neptune
Q572133,father,Q40901,Ares
Q572133,mother,Q35500,Aphrodite
Q572133,sibling,Q121973,Eros
Q37340,father,Q34201,Zeus
Q37340,child,Q83223,Asclepius
Q37340,child,Q174353,Orpheus
Q37340,child,Q506770,Hymen
Q37340,child,Q1330532,Lycomedes
Q37340,child,Q208588,Eurydice
Q37340,child,Q2606272,Centaurus
Q37340,child,Q61014736,Euripides
Q37340,sibling,Q39503,Artemis
Q37340,spouse,Q104002,Urania
Q37340,unmarried partner,Q103975,Calliope
Q37340,unmarried partner,Q104042,Terpsichore
Q37340,unmarried partner,Q103968,Clio
Q37340,unmarried partner,Q725286,Coronis
Q37340,unmarried partner,Q910403,Dryope
Q37340,unmarried partner,Q193433,Hecuba
Q40901,father,Q34201,Zeus
Q40901,mother,Q38012,Hera
Q40901,child,Q572133,Anteros
Q40901,child,Q121973,Eros
Q40901,child,Q978079,Harmonia
Q40901,child,Q379828,Penthesilea
Q40901,child,Q321541,Meleager
Q40901,child,Q1149595,Molus
Q40901,child,Q271891,Ixion
Q40901,child,Q847890,Oenomaus
Q40901,child,Q1138506,Tereus
Q40901,spouse,Q35500,Aphrodite
Q40901,unmarried partner,Q35500,Aphrodite
Q40901,unmarried partner,Q584492,"Aglaurus, daughter of Cecrops"
Q40901,unmarried partner,Q190323,Atalanta
Q40901,unmarried partner,Q103975,Calliope
Q40901,unmarried partner,Q104042,Terpsichore
Q978079,father,Q40901,Ares
Q978079,mother,Q35500,Aphrodite
Q978079,child,Q223690,Ino
Q978079,child,Q776139,Semele
Q978079,spouse,Q27613,Cadmus
Q39503,father,Q34201,Zeus
Q39503,sibling,Q37340,Apollo
Q83223,father,Q37340,Apollo
Q83223,mother,Q725286,Coronis
Q83223,child,Q202257,Hygieia
Q742680,father,Q34201,Zeus
Q37122,father,Q34201,Zeus
Q37122,mother,Q190565,Metis
Q37122,child,Q202257,Hygieia
Q130818,child,Q48961,Calypso
Q130818,child,Q59697,Hesperus
Q130818,sibling,Q83160,Prometheus
Q130818,sibling,Q41054,Epimetheus
Q753294,father,Q34201,Zeus
Q753294,mother,Q131203,Nyx
Q753294,sibling,Q829669,Clotho
Q753294,sibling,Q898947,Lachesis
Q109220,child,Q893473,Calais
Q109220,child,Q4024302,Zetes
Q109220,sibling,Q467515,Zephyrus
Q109220,spouse,Q1129489,Orithyia
Q48961,father,Q130818,Atlas
Q48961,father,Q189527,Nereus
Q48961,mother,Q726279,Doris
Q48961,unmarried partner,Q47231,Odysseus
Q203673,father,Q501667,Lycaon
Q203673,child,Q132582,Pan
Q203673,unmarried partner,Q34201,Zeus
Q192082,father,Q41127,Poseidon
Q6612,mother,Q131203,Nyx
Q131090,child,Q121973,Eros
Q131090,child,Q131203,Nyx
Q131090,child,Q79999,Uranus
Q188236,child,Q308398,Midas
Q187602,father,Q241971,Aeëtes
Q187602,father,Q134270,Helios
Q187602,mother,Q131575,Hecate
Q187602,sibling,Q241971,Aeëtes
Q187602,unmarried partner,Q47231,Odysseus
Q21051010,father,Q161419,Oceanus
Q829669,father,Q34201,Zeus
Q829669,mother,Q131203,Nyx
Q829669,sibling,Q898947,Lachesis
Q829669,sibling,Q753294,Atropos
Q194015,father,Q1364612,Peneus
Q40730,mother,Q108419,Rhea
Q40730,child,Q45967,Persephone
Q40730,child,Q842435,Arion
Q40730,child,Q1352687,Eubuleus
Q40730,child,Q131575,Hecate
Q40730,sibling,Q34201,Zeus
Q40730,sibling,Q41127,Poseidon
Q40730,sibling,Q38012,Hera
Q40730,unmarried partner,Q34201,Zeus
Q40730,unmarried partner,Q41127,Poseidon
Q199923,father,Q161419,Oceanus
Q199923,father,Q79999,Uranus
Q199923,child,Q35500,Aphrodite
Q199923,child,Q41680,Dionysus
Q199923,child,Q213621,Niobe
Q199923,unmarried partner,Q34201,Zeus
Q41680,father,Q34201,Zeus
Q41680,mother,Q776139,Semele
Q41680,mother,Q40730,Demeter
Q41680,child,Q506770,Hymen
Q41680,child,Q419156,Acis
Q41680,child,Q206878,Priapus
Q41680,child,Q272000,Deianira
Q41680,child,Q184353,Charites
Q41680,spouse,Q184874,Ariadne
Q41680,unmarried partner,Q35500,Aphrodite
Q41680,unmarried partner,Q184874,Ariadne
Q726279,father,Q161419,Oceanus
Q726279,child,Q241070,Galatea
Q726279,child,Q15711584,Cymodoce
Q726279,child,Q1241338,Thaleia
Q726279,child,Q184437,Thetis
Q726279,child,Q180222,Amphitrite
Q726279,child,Q48961,Calypso
Q726279,child,Q2866192,Arethusa
Q726279,spouse,Q189527,Nereus
Q726279,unmarried partner,Q34201,Zeus
Q910403,unmarried partner,Q37340,Apollo
Q131125,father,Q34201,Zeus
Q131125,mother,Q38012,Hera
Q131125,spouse,Q122248,Heracles
Q131575,father,Q34201,Zeus
Q131575,mother,Q38012,Hera
Q131575,mother,Q40730,Demeter
Q131575,child,Q174278,Medea
Q131575,child,Q187602,Circe
Q131575,child,Q193115,Scylla
Q131575,unmarried partner,Q148030,Triton
Q131575,unmarried partner,Q241971,Aeëtes
Q44384,father,Q34201,Zeus
Q44384,mother,Q38012,Hera
Q44384,child,Q644921,Erichthonius
Q44384,sibling,Q40901,Ares
Q44384,spouse,Q35500,Aphrodite
Q44384,spouse,Q4439972,Aglaea
Q44384,unmarried partner,Q37122,Athena
Q1249106,father,Q79999,Uranus
Q1249106,killed_by,Q37340,Apollo
Q1249106,killed_by,Q122248,Heracles
Q321298,unmarried partner,Q34201,Zeus
Q638578,mother,Q624551,Nephele
Q638578,sibling,Q743482,Phrixus
Q638578,unmarried partner,Q41127,Poseidon
Q845112,father,Q79999,Uranus
Q845112,killed_by,Q37122,Athena
Q172549,father,Q41127,Poseidon
Q172549,child,Q1362409,Canace
Q172549,child,Q9026462,Macareus
Q41054,child,Q622809,Pyrrha
Q41054,sibling,Q130818,Atlas
Q41054,sibling,Q83160,Prometheus
Q41054,spouse,Q131346,Pandora
Q38012,mother,Q108419,Rhea
Q38012,child,Q40901,Ares
Q38012,child,Q131125,Hebe
Q38012,child,Q44384,Hephaestus
Q38012,child,Q131575,Hecate
Q38012,sibling,Q34201,Zeus
Q38012,sibling,Q41127,Poseidon
Q38012,sibling,Q40730,Demeter
Q38012,spouse,Q34201,Zeus
Q122248,father,Q34201,Zeus
Q122248,child,Q847268,Hyllus
Q122248,child,Q916442,Telephus
Q122248,spouse,Q272000,Deianira
Q122248,spouse,Q131125,Hebe
Q122248,spouse,Q486698,Omphale
Q1135146,father,Q161419,Oceanus
Q204146,father,Q41484,Hermes
Q204146,mother,Q35500,Aphrodite
Q41484,father,Q34201,Zeus
Q41484,child,Q204146,Hermaphroditus
Q41484,child,Q132582,Pan
Q41484,child,Q206878,Priapus
Q41484,child,Q464091,Silenus
Q41484,unmarried partner,Q35500,Aphrodite
Q41484,unmarried partner,Q16641710,Herse
Q121973,father,Q40901,Ares
Q121973,father,Q467515,Zephyrus
Q121973,father,Q131090,Chaos
Q121973,mother,Q35500,Aphrodite
Q121973,mother,Q184570,Iris
Q121973,mother,Q131203,Nyx
Q121973,sibling,Q572133,Anteros
Q121973,sibling,Q131203,Nyx
Q121973,spouse,Q843382,Psyche
Q689422,father,Q34201,Zeus
Q689422,mother,Q548099,Eurynome
Q689422,sibling,Q4439972,Aglaea
Q208588,spouse,Q174353,Orpheus
Q548099,father,Q161419,Oceanus
Q548099,child,Q689422,Euphrosyne
Q548099,child,Q4439972,Aglaea
Q548099,child,Q184353,Charites
Q548099,unmarried partner,Q34201,Zeus
Q183281,father,Q79999,Uranus
Q183281,child,Q12958119,Latona
Q398524,father,Q161419,Oceanus
Q398524,child,Q183417,Chiron
Q398524,unmarried partner,Q41127,Poseidon
Q1775444,child,Q578888,Ceyx
Q1775444,sibling,Q59697,Hesperus
Q385397,father,Q41127,Poseidon
Q134270,child,Q203480,Phaethon
Q134270,child,Q241971,Aeëtes
Q134270,child,Q187602,Circe
Q134270,child,Q689422,Euphrosyne
Q134270,child,Q4439972,Aglaea
Q134270,child,Q184353,Charites
Q134270,child,Q107785,Amalthea
Q134270,child,Q850192,Dirce
Q134270,sibling,Q131585,Selene
Q134270,unmarried partner,Q339980,Leucothoë
Q134270,unmarried partner,Q131585,Selene
Q189347,mother,Q131203,Nyx
Q189347,child,Q194012,Morpheus
Q202257,father,Q83223,Asclepius
Q506770,father,Q41680,Dionysus
Q506770,father,Q37340,Apollo
Q506770,mother,Q35500,Aphrodite
Q506770,mother,Q103975,Calliope
Q506770,mother,Q104042,Terpsichore
Q506770,mother,Q104002,Urania
Q506770,mother,Q103968,Clio
Q179014,unmarried partner,Q34201,Zeus
Q2171892,father,Q161419,Oceanus
Q184570,child,Q121973,Eros
Q184570,spouse,Q467515,Zephyrus
Q898947,father,Q34201,Zeus
Q898947,mother,Q131203,Nyx
Q898947,sibling,Q753294,Atropos
Q898947,sibling,Q829669,Clotho
Q190565,father,Q161419,Oceanus
Q190565,child,Q37122,Athena
Q190565,child,Q126916,Minerva
Q190565,spouse,Q34201,Zeus
Q102884,father,Q79999,Uranus
Q102884,father,Q34201,Zeus
Q102884,child,Q103968,Clio
Q102884,child,Q103975,Calliope
Q102884,child,Q103992,Melpomene
Q102884,child,Q104002,Urania
Q102884,child,Q104012,Euterpe
Q102884,child,Q104042,Terpsichore
Q102884,child,Q104413,Erato
Q102884,child,Q104425,Polyhymnia
Q102884,unmarried partner,Q34201,Zeus
Q194012,father,Q189347,Hypnos
Q194012,mother,Q4439972,Aglaea
Q194012,mother,Q131203,Nyx
Q624551,father,Q161419,Oceanus
Q624551,child,Q743482,Phrixus
Q624551,child,Q638578,Helle
Q185747,father,Q161419,Oceanus
Q185747,mother,Q131203,Nyx
Q185747,child,Q164061,Helen of Troy
Q185747,unmarried partner,Q34201,Zeus
Q189527,child,Q241070,Galatea
Q189527,child,Q15711584,Cymodoce
Q189527,child,Q1241338,Thaleia
Q189527,child,Q184437,Thetis
Q189527,child,Q180222,Amphitrite
Q189527,child,Q48961,Calypso
Q189527,child,Q2866192,Arethusa
Q189527,spouse,Q726279,Doris
Q685243,father,Q161419,Oceanus
Q131203,father,Q131090,Chaos
Q131203,child,Q185747,Nemesis
Q131203,child,Q6612,Charon
Q131203,child,Q189347,Hypnos
Q131203,child,Q194012,Morpheus
Q131203,child,Q753294,Atropos
Q131203,child,Q829669,Clotho
Q131203,child,Q898947,Lachesis
Q131203,child,Q121973,Eros
Q131203,sibling,Q121973,Eros
Q161419,father,Q79999,Uranus
Q161419,child,Q185747,Nemesis
Q161419,child,Q48961,Calypso
Q161419,child,Q107785,Amalthea
Q161419,child,Q180222,Amphitrite
Q161419,child,Q190565,Metis
Q161419,child,Q398524,Philyra
Q161419,child,Q726279,Doris
Q161419,child,Q548099,Eurynome
Q161419,child,Q391379,Achelous
Q161419,child,Q685243,Nilus
Q161419,child,Q911084,Alpheus
Q161419,child,Q1364612,Peneus
Q161419,child,Q199923,Dione
Q161419,child,Q1135146,Eridanos
Q161419,child,Q624551,Nephele
Q161419,child,Q21051010,Klytia
Q161419,child,Q269243,Triptolemus
Q161419,child,Q2171892,Hippo
Q161419,sibling,Q108419,Rhea
Q201261,unmarried partner,Q39503,Artemis
Q1129489,child,Q893473,Calais
Q1129489,child,Q4024302,Zetes
Q1129489,spouse,Q109220,Boreas
Q3357697,father,Q79999,Uranus
Q132582,father,Q41484,Hermes
Q132582,father,Q34201,Zeus
Q132582,mother,Q203673,Callisto
Q132582,child,Q419156,Acis
Q132582,child,Q464091,Silenus
Q132582,unmarried partner,Q207368,Echo
Q1364612,father,Q161419,Oceanus
Q1364612,child,Q194015,Daphne
Q45967,father,Q34201,Zeus
Q45967,mother,Q40730,Demeter
Q45967,unmarried partner,Q163920,Adonis
Q45967,unmarried partner,Q34201,Zeus
Q130832,father,Q34201,Zeus
Q130832,mother,Q190582,Danaë
Q130832,spouse,Q161582,Andromeda
Q41127,mother,Q108419,Rhea
Q41127,child,Q193567,Polyphemus
Q41127,child,Q148030,Triton
Q41127,child,Q182439,Pelias
Q41127,child,Q172549,Aeolus
Q41127,child,Q1320718,Theseus
Q41127,child,Q1136130,Idas
Q41127,child,Q842435,Arion
Q41127,child,Q189872,Bellerophon
Q41127,child,Q192082,Charybdis
Q41127,child,Q162797,Pegasus
Q41127,child,Q1066344,Cycnus
Q41127,child,Q4259170,Lepreus
Q41127,child,Q641065,Phineus
Q41127,child,Q385397,Glaucus
Q41127,child,Q200073,Lamia
Q41127,sibling,Q34201,Zeus
Q41127,sibling,Q38012,Hera
Q41127,sibling,Q40730,Demeter
Q41127,spouse,Q180222,Amphitrite
Q41127,unmarried partner,Q35500,Aphrodite
Q41127,unmarried partner,Q482096,Amymone
Q41127,unmarried partner,Q1362409,Canace
Q41127,unmarried partner,Q40730,Demeter
Q41127,unmarried partner,Q956831,Eurynome
Q41127,unmarried partner,Q638578,Helle
Q41127,unmarried partner,Q160730,Medusa
Q41127,unmarried partner,Q3854114,Melantho daughter of Deucalion
Q41127,unmarried partner,Q398524,Philyra
Q41127,unmarried partner,Q2866192,Arethusa
Q83160,child,Q207715,Deucalion
Q83160,sibling,Q41054,Epimetheus
Q83160,sibling,Q130818,Atlas
Q843382,spouse,Q121973,Eros
Q108419,father,Q79999,Uranus
Q108419,child,Q34201,Zeus
Q108419,child,Q38012,Hera
Q108419,child,Q40730,Demeter
Q108419,child,Q41127,Poseidon
Q108419,child,Q32102,Ceres
Q108419,sibling,Q161419,Oceanus
Q1061782,mother,Q103975,Calliope
Q1061782,mother,Q104012,Euterpe
Q1061782,killed_by,Q208256,Diomedes
Q193115,father,Q41127,Poseidon
Q193115,father,Q180237,Typhon
Q193115,mother,Q131575,Hecate
Q193115,mother,Q200073,Lamia
Q131585,child,Q179256,Narcissus
Q131585,sibling,Q134270,Helios
Q131585,unmarried partner,Q272047,Endymion
Q131585,unmarried partner,Q134270,Helios
Q131585,unmarried partner,Q34201,Zeus
Q1241338,father,Q189527,Nereus
Q1241338,mother,Q726279,Doris
Q180237,child,Q83496,Cerberus
Q180237,child,Q170379,Hydra
Q180237,child,Q182790,chimera
Q180237,child,Q274600,Ladon
Q180237,child,Q193115,Scylla
Q10696861,unmarried partner,Q13409873,Pyramus
Q148030,father,Q41127,Poseidon
Q148030,mother,Q180222,Amphitrite
Q148030,unmarried partner,Q131575,Hecate
Q79999,father,Q131090,Chaos
Q79999,child,Q35500,Aphrodite
Q79999,child,Q845112,Enceladus
Q79999,child,Q1249106,Ephialtes
Q79999,child,Q3357697,Otus
Q79999,child,Q161419,Oceanus
Q79999,child,Q183281,Phoebe
Q79999,child,Q102884,Mnemosyne
Q79999,child,Q108419,Rhea
Q79999,child,Q1643451,Alecto
Q79999,child,Q371545,Megaera
Q79999,child,Q3991817,Tisiphone
Q79999,child,Q199923,Dione
Q79999,child,Q128430,cyclops
Q59697,father,Q643504,Cephalus
Q59697,sibling,Q1775444,Phosphorus
Q467515,child,Q121973,Eros
Q467515,child,Q21560612,Xanthus
Q467515,child,Q842435,Arion
Q467515,sibling,Q109220,Boreas
Q467515,spouse,Q184570,Iris
Q34201,mother,Q108419,Rhea
Q34201,child,Q40901,Ares
Q34201,child,Q35500,Aphrodite
Q34201,child,Q37340,Apollo
Q34201,child,Q44384,Hephaestus
Q34201,child,Q39503,Artemis
Q34201,child,Q41484,Hermes
Q34201,child,Q45967,Persephone
Q34201,child,Q41680,Dionysus
Q34201,child,Q164061,Helen of Troy
Q34201,child,Q201411,Horae
Q34201,child,Q104425,Polyhymnia
Q34201,child,Q104413,Erato
Q34201,child,Q104042,Terpsichore
Q34201,child,Q104012,Euterpe
Q34201,child,Q104002,Urania
Q34201,child,Q103992,Melpomene
Q34201,child,Q103975,Calliope
Q34201,child,Q103968,Clio
Q34201,child,Q23168,Minos
Q34201,child,Q131125,Hebe
Q34201,child,Q12046224,Pollux
Q34201,child,Q122248,Heracles
Q34201,child,Q130832,Perseus
Q34201,child,Q182101,Tantalus
Q34201,child,Q242835,Amphion
Q34201,child,Q689422,Euphrosyne
Q34201,child,Q4439972,Aglaea
Q34201,child,Q102884,Mnemosyne
Q34201,child,Q656887,Tityos
Q34201,child,Q742680,Astraea
Q34201,child,Q753294,Atropos
Q34201,child,Q829669,Clotho
Q34201,child,Q898947,Lachesis
Q34201,child,Q272047,Endymion
Q34201,child,Q978079,Harmonia
Q34201,child,Q21560612,Xanthus
Q34201,child,Q131575,Hecate
Q34201,child,Q132582,Pan
Q34201,child,Q184353,Charites
Q34201,child,Q2753233,Corythus
Q34201,child,Q37122,Athena
Q34201,sibling,Q38012,Hera
Q34201,sibling,Q41127,Poseidon
Q34201,sibling,Q40730,Demeter
Q34201,sibling,Q183417,Chiron
Q34201,spouse,Q190565,Metis
Q34201,spouse,Q38012,Hera
Q34201,unmarried partner,Q321298,Aegina
Q34201,unmarried partner,Q182019,Leda
Q34201,unmarried partner,Q461439,Antiope
Q34201,unmarried partner,Q203673,Callisto
Q34201,unmarried partner,Q190582,Danaë
Q34201,unmarried partner,Q40730,Demeter
Q34201,unmarried partner,Q199923,Dione
Q34201,unmarried partner,Q165170,Europa
Q34201,unmarried partner,Q548099,Eurynome
Q34201,unmarried partner,Q179014,Io
Q34201,unmarried partner,Q102884,Mnemosyne
Q34201,unmarried partner,Q45967,Persephone
Q34201,unmarried partner,Q131585,Selene
Q34201,unmarried partner,Q776139,Semele
Q34201,unmarried partner,Q35500,Aphrodite
Q34201,unmarried partner,Q622809,Pyrrha
Q34201,unmarried partner,Q103975,Calliope
Q34201,unmarried partner,Q726279,Doris
Q34201,unmarried partner,Q185747,Nemesis
Q34201,unmarried partner,Q200073,Lamia
Q645312,father,Q4649,Jupiter
Q645312,mother,Q776139,Semele
Q207234,father,Q4649,Jupiter
Q207234,mother,Q125046,Juno
Q207234,spouse,Q112,Mars
Q207234,unmarried partner,Q112,Mars
Q32102,father,Q134388,Saturn
Q32102,mother,Q108419,Rhea
Q32102,mother,Q859392,Ops
Q32102,child,Q14515330,Proserpina
Q32102,sibling,Q178710,Vesta
Q32102,sibling,Q152262,Pluto
Q32102,sibling,Q4649,Jupiter
Q32102,sibling,Q3954,Neptune
Q32102,sibling,Q125046,Juno
Q5011,father,Q1150,Mercury
Q5011,father,Q112,Mars
Q5011,mother,Q47652,Venus
Q5011,mother,Q132543,Diana
Q132543,father,Q4649,Jupiter
Q132543,mother,Q12958119,Latona
Q132543,child,Q5011,Cupid
Q240679,father,Q4649,Jupiter
Q4649,father,Q134388,Saturn
Q4649,mother,Q859392,Ops
Q4649,child,Q4640,Vulcan
Q4649,child,Q132543,Diana
Q4649,child,Q240679,Hercules
Q4649,child,Q645312,Bacchus
Q4649,child,Q1367680,Iuventas
Q4649,child,Q112,Mars
Q4649,child,Q207234,Bellona
Q4649,child,Q126916,Minerva
Q4649,child,Q1150,Mercury
Q4649,child,Q14515330,Proserpina
Q4649,sibling,Q125046,Juno
Q4649,sibling,Q178710,Vesta
Q4649,sibling,Q152262,Pluto
Q4649,sibling,Q3954,Neptune
Q4649,sibling,Q32102,Ceres
Q4649,spouse,Q125046,Juno
Q4649,unmarried partner,Q12958119,Latona
Q125046,father,Q134388,Saturn
Q125046,child,Q112,Mars
Q125046,child,Q4640,Vulcan
Q125046,child,Q1367680,Iuventas
Q125046,child,Q207234,Bellona
Q125046,sibling,Q4649,Jupiter
Q125046,sibling,Q178710,Vesta
Q125046,sibling,Q152262,Pluto
Q125046,sibling,Q3954,Neptune
Q125046,sibling,Q32102,Ceres
