qid,P31,P21,P2925,P460,P1889
Q391379,Q3027575 (Potamoi),Q6581097 (male),Q203923 (Achelous River),,
Q163920,Q22989102 (Greek deity),Q6581097 (male),Q7242 (beauty),,
Q35500,Q22989102 (Greek deity),Q6581072 (female),Q316 (love),Q47652 (Venus),Q9141765 (Afrodyta)
Q4439972,Q22989102 (Greek deity),Q6581072 (female),,,
Q911084,Q3027575 (Potamoi),Q6581097 (male),Q941745 (Alfeios),,
Q107785,Q182406 (Oceanids),Q6581072 (female),,,Q108904 (Amalthée)
Q3575327,Q22989102 (Greek deity),Q6581097 (male),,,
Q180222,Q22989102 (Greek deity),Q6581072 (female),Q165 (sea),Q2987780 (Salacia),Q186663 (leopard seal)
Q572133,Q22989102 (Greek deity),Q6581097 (male),Q316 (love),,
Q37340,Q22989102 (Greek deity),Q6581097 (male),,Q900649 (Apollo),
Q40901,Q22989102 (Greek deity),Q6581097 (male),Q198 (war),Q112 (Mars),Q642910 (Ares)
Q978079,Q22988604 (mythological Greek character),Q6581072 (female),Q784068 (harmony),Q746321 (Concordia),Q26913032 (Harmonia)
Q787492,Q146083 (Ancient Egyptian deity),Q6581097 (male),,Q84122 (Horus),Q5264 (Hippocrates)
Q39503,Q113103481 (Olympian god),Q6581072 (female),,Q132543 (Diana),Q159168 (Themis)
Q83223,Q22989102 (Greek deity),Q6581097 (male),,Q3920788 (Aesculapius),
Q742680,Q205985 (goddess),Q6581072 (female),,Q465875 (Dike),Q18642285 (Asteria)
Q37122,Q205985 (goddess),Q6581072 (female),Q799 (wisdom),Q126916 (Minerva),Q4813062 (Atena)
Q130818,Q45713 (titan),Q6581097 (male),,,Q757089 (Atlas)
Q753294,Q22989102 (Greek deity),Q6581072 (female),,,
Q109220,Q476682 (Anemoi),Q6581097 (male),,Q2859290 (Aquilon),Q1016296 (Burias)
Q48961,Q182406 (Oceanids),Q6581072 (female),,,Q203673 (Callisto)
Q203673,Q3346693 (Greek nymph),Q6581072 (female),,,Q48961 (Calypso)
Q58371024,Q22989102 (Greek deity),Q6581072 (female),,,
Q192082,Q3059255 (Greek water deities),Q6581072 (female),,,
Q6612,Q22989102 (Greek deity),Q6581097 (male),,,Q1067918 (Charun)
Q131090,Q878099 (Greek primordial deity),Q6581097 (male),,,Q33060039
Q188236,Q22989102 (Greek deity),Q6581072 (female),Q7860 (nature),Q108419 (Rhea),Q648255 (Kabyle people)
Q187602,Q22989102 (Greek deity),Q6581072 (female),,,Q28771850 (Kirke)
Q21051010,Q182406 (Oceanids),Q6581072 (female),,Q866674 (Clytie),
Q829669,Q22989102 (Greek deity),Q6581072 (female),,,
Q194015,Q182037 (naiad),Q6581072 (female),,,Q11692901 (Daphne)
Q12750699,Q242663 (Oread),Q6581072 (female),,,Q741627 (Daphnis)
Q40730,Q22989102 (Greek deity),Q6581072 (female),Q36133 (soil),Q32102 (Ceres),Q513715 (Demeter)
Q199923,Q45713 (titan),Q6581072 (female),,,
Q41680,Q13405593 (nature deity),Q6581097 (male),Q282 (wine),Q645312 (Bacchus),Q10755817 (Dionysos)
Q726279,Q182406 (Oceanids),Q6581072 (female),,,Q670634 (Doris)
Q910403,Q22988604 (mythological Greek character),Q6581072 (female),,Q29788463 (Dryope),
Q131125,Q205985 (goddess),Q6581072 (female),,Q1367680 (Iuventas),
Q131575,Q205985 (goddess),Q6581072 (female),Q1058800 (moonlight),Q39503 (Artemis),Q99600343 (Hécate)
Q207368,Q242663 (Oread),Q6581072 (female),Q182767 (echo),,
Q44384,Q22989102 (Greek deity),Q6581097 (male),Q8072 (volcano),Q4640 (Vulcan),
Q1249106,Q191192 (Giants),Q6581097 (male),,,Q957340 (Ephialtes)
Q5820239,Q182037 (naiad),Q6581072 (female),,,
Q321298,Q3346693 (Greek nymph),Q6581072 (female),,,
Q638578,Q3059255 (Greek water deities),Q6581072 (female),,,Q60409839 (Athamantis)
Q845112,Q191192 (Giants),Q6581097 (male),,,Q15138962 (Enkelados)
Q172549,Q22989102 (Greek deity),Q6581097 (male),,Q4532166 (Aeolus),Q252967 (EOL)
Q41054,Q45713 (titan),Q6581097 (male),,,Q227368 (Epimetheus)
Q38012,Q22989102 (Greek deity),Q6581072 (female),Q8445 (marriage),Q125046 (Juno),Q242337 (Hera)
Q122248,Q23015925 (demigod of Greek mythology),Q6581097 (male),,Q240679 (Hercules),Q106803123 (Idaean Heracles)
