entity,name,aka,description
http://www.wikidata.org/entity/Q304227,Aba,,ninfa naiade della mitologia greca
http://www.wikidata.org/entity/Q279782,Abarbarea,,naiade della mitologia greca
http://www.wikidata.org/entity/Q305548,Abarbarea,,
http://www.wikidata.org/entity/Q2370052,Acanto,,"personaggio della mitologia greca, probabilmente una ninfa amata da Apollo"
http://www.wikidata.org/entity/Q4668463,Acaste,,Oceanina nella mitologia greca
http://www.wikidata.org/entity/Q56033395,Accò,,ninfa
http://www.wikidata.org/entity/Q417341,Acefalo,,demone (o divinità) senza testa
http://www.wikidata.org/entity/Q115379458,Aceside,,
http://www.wikidata.org/entity/Q391379,Acheloo,,divinità fluviale greca
http://www.wikidata.org/entity/Q12626619,Acheronte,Acherone,divinità greca
http://www.wikidata.org/entity/Q605797,Acheso,,"personaggio della mitologia greca, figlia di Asclepio ed Epione"
http://www.wikidata.org/entity/Q340545,Achlys,Akhlys,divinità dei veleni e personificazione della tristezza nella mitologia greca
http://www.wikidata.org/entity/Q5081127,Acmone,,"divinità della mitologia greca, figlio di Gea"
http://www.wikidata.org/entity/Q12647288,Acrato,,divinità greca del vino non annacquato
http://www.wikidata.org/entity/Q126719608,Actaio,,
http://www.wikidata.org/entity/Q2718640,Adamantea,Adamanthea,
http://www.wikidata.org/entity/Q41410,Ade,Hades,dio greco dell'oltretomba
http://www.wikidata.org/entity/Q356321,Adefagia,,"personaggio della mitologia greca, personificazione dell'ingordigia"
http://www.wikidata.org/entity/Q2824393,Adikia,,dea dell'ingiustizia e dell'errore nella mitologia greca
http://www.wikidata.org/entity/Q4679171,Admete,,Oceanina nella mitologia greca
http://www.wikidata.org/entity/Q163920,Adone,Atunis,"personaggio della mitologia greca, noto per la sua bellezza"
http://www.wikidata.org/entity/Q366533,Adrano,"Hatranus, Hadranus, Adranus, Adranòs, Adranos",divinità sicula
http://www.wikidata.org/entity/Q4057954,Adrastea,,ninfa della mitologia greca
http://www.wikidata.org/entity/Q16737262,Adrastea,,divinità di montagna della mitologia greca
http://www.wikidata.org/entity/Q3844469,Aergia,,"dea della mitologia greca, personificazione della pigrizia"
http://www.wikidata.org/entity/Q618401,Afaia,,divinità greca
http://www.wikidata.org/entity/Q35500,Afrodite,"Citerèa, Citerea, Aφροδίτη, Cipride","dea greca dell'amore, della bellezza, della sessualità e del piacere"
http://www.wikidata.org/entity/Q4779733,Afrodite Pandemos,,epiteto divino di Afrodite
http://www.wikidata.org/entity/Q1247904,Afrodito,,
http://www.wikidata.org/entity/Q390448,Aganippe,,"naiade della mitologia greca, figlia di Termesso"
http://www.wikidata.org/entity/Q390815,Agastene,,gigante della mitologia greca
http://www.wikidata.org/entity/Q391553,Agathodaimon,"Agathos-daimon, Agathos Daimon, Agatodemone",spirito benigno (demone o genio) nella mitologia greca e romana
http://www.wikidata.org/entity/Q381459,Agave,,"personaggio della mitologia greca, figlia di Cadmo e Armonia e madre di Penteo"
http://www.wikidata.org/entity/Q392120,Agdistis,Agdisti,"divinità nella mitologia greca, romana e anatolica"
http://www.wikidata.org/entity/Q394161,Aglaia,,"personaggio della mitologia greca, moglie di Caropo"
http://www.wikidata.org/entity/Q4439972,Aglaia,,"dea greca della bellezza, dello splendore, della gloria, della magnificenza e ornamento"
http://www.wikidata.org/entity/Q3606663,Agno,,
http://www.wikidata.org/entity/Q395236,Agone,,
http://www.wikidata.org/entity/Q14912115,Agrio,,gigante della mitologia greca
http://www.wikidata.org/entity/Q10403775,Aia,Ea,Naiade della mitologia greca
http://www.wikidata.org/entity/Q404076,Aidos,,"dea greca di vergogna, modestia, rispetto ed umiltà"
http://www.wikidata.org/entity/Q164846,Aion,Eone,personaggio della mitologia fenicia
http://www.wikidata.org/entity/Q5695424,Aix,,ninfa della mitologia greca
http://www.wikidata.org/entity/Q391089,Alalà,,"divinità della mitologia greca, personificazione del grido di battaglia"
http://www.wikidata.org/entity/Q576123,Alastore,,divinità greca
http://www.wikidata.org/entity/Q4727676,Alce,"Alce, Alke",divinità greca della forza in battaglia
http://www.wikidata.org/entity/Q763268,Alcione,,"personaggio della mitologia greca, una delle sette Pleiadi"
